Session,Date,Weight,Calories,Adjusted_Calories,Notes
Day 1,2026-09-09,219.2,1533,1533,Hit target ceiling with rice, milk, and fairlife.
Day 2,2026-09-10,220.0,531,2150,Partial log / early day tracking with chili.
Day 3,2026-09-11,220.0,1475,1475,Full day summary; nailed protein (~185g).
Day 4,2026-09-12,220.0,1527,1527,Corrected for 3/4 pizza batch.
Day 5,2026-09-13,220.0,324,2150,Partial log (2 slices for lunch).
Day 6,2026-09-14,220.0,1538,1538,Final summary with sandwich, chicken, and roll.
Day 7,2026-09-15,,1456,1456,Finished with pizza, pepperoni, and hot honey.
Day 8,2026-09-16,,1323,1323,Tracked soup, chicken, yogurt, and whole milk.
Day 9,2026-09-17,,1499,1499,Masterclass budgeting with a fully loaded Five Guys burger.
Day 10,2026-09-18,,308,2150,Partial log (raw chicken and zero-sugar drinks).
Day 11,2026-09-19,,579,2150,Partial log (leftover meal portion and Greek yogurt).
